OBJECTID,Loc_name,Match_addr,LongLabel,ShortLabel,Type,PlaceName,Place_addr,City,Subregion,RegionAbbr,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,IN_City,IN_Subregion,IN_Region,USER_place_fips,USER_state_fips,USER_City_Name,USER_State_Name,USER_TotalPop,USER_Male,USER_Female,USER_White,USER_NonHispanic,USER_USCitizen,USER_Commute_DriveAlone,USER_Family_Married,USER_EnrolledSchool_Over3Yrs,USER_Education_Bachelors,USER_Eduction_GraduateProf,USER_Household_English,USER_PovertyLvl_2andOver,USER_NonVeteran,USER_Employed,USER_NotLaborForce,USER_House_OwnerOccupied,USER_House_Built80to99,USER_HealthIns_Covered,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,Count_Parks,Parks_Area,Road_Trail_Length,Count_Road_Trail
11,World,"City of Flagstaff, Arizona","City of Flagstaff, AZ, USA",City of Flagstaff,City,City of Flagstaff,"City of Flagstaff, Arizona",City of Flagstaff,Coconino County,AZ,2472044.838,-111.61754,35.18664,-111.61754,35.18664,-111.86754,-111.36754,34.93664,35.43664, ,Flagstaff city,,Arizona,23620,4,Flagstaff city,Arizona,75902,0.492543016,0.507456984,0.624779321,0.801612606,0.958736265,0.342573318,0.135714474,0.411741456,0.159956259,0.125675213,0.311269795,0.582580169,0.814563516,0.559102527,0.296816948,0.15310532,0.141168876,0.625042818,8,11,0.810509032,0.051508272,44,1779458722,1305506.809,2689
12,World,"City of Chandler, Arizona","City of Chandler, AZ, USA",City of Chandler,City,City of Chandler,"City of Chandler, Arizona",City of Chandler,Maricopa County,AZ,2492159.84,-111.85209,33.28308,-111.85209,33.28308,-111.94709,-111.75709,33.18808,33.37808, ,Chandler city,,Arizona,12000,4,Chandler city,Arizona,280684,0.514165396,0.485834604,0.560423822,0.788409742,0.929629049,0.338059882,0.192893075,0.255953314,0.189547676,0.123359365,0.272936826,0.822130937,0.716161235,0.555642644,0.220105172,0.244082313,0.175742116,0.583934246,8,12,0.800297345,0.050377557,236,592025705.4,273900.4911,3387
13,World,"City of Goodyear, Arizona","City of Goodyear, AZ, USA",City of Goodyear,City,City of Goodyear,"City of Goodyear, Arizona",City of Goodyear,Maricopa County,AZ,2539638.669,-112.36218,33.26133,-112.36218,33.26133,-112.56218,-112.16218,33.06133,33.46133, ,Goodyear city,,Arizona,28380,4,Goodyear city,Arizona,105404,0.50193541,0.49806459,0.596258207,0.671274335,0.964640811,0.321496338,0.226831999,0.208170468,0.195893894,0.086875261,0.270302835,0.806847937,0.744601723,0.492505028,0.308356419,0.268756404,0.047740124,0.499421274,8,13,0.800186463,0.050365245,2,17739043.91,90428.97209,83
14,World,"Catalina Foothills, Arizona","Catalina Foothills, AZ, USA",Catalina Foothills,City,Catalina Foothills,"Catalina Foothills, Arizona",Catalina Foothills,Pima County,AZ,0,-110.902293,32.308333,-110.902293,32.308333,-110.972293,-110.832293,32.238333,32.378333,CDP,Catalina Foothills CDP,,Arizona,11230,4,Catalina Foothills CDP,Arizona,48462,0.512277661,0.487722339,0.747018282,0.893751806,0.974681194,0.322685816,0.248648426,0.16266353,0.242705625,0.323469935,0.378750361,0.845672898,0.794932112,0.469935207,0.396145434,0.35830135,0.271924394,0.467190789,8,14,0.795450416,0.049838669,184,1187949101,503584.9232,3188
15,World,"Mesa City, Arizona","Mesa City, AZ, USA",Mesa City,City,Mesa City,"Mesa, Arizona",Mesa,Maricopa County,AZ,2488935.948,-111.82264,33.42227,-111.82264,33.42227,-111.96164,-111.68364,33.28327,33.56127, ,Mesa city,,Arizona,46000,4,Mesa city,Arizona,512523,0.503155956,0.496844044,0.66038012,0.728478527,0.941475797,0.326358037,0.17833346,0.238633193,0.139035712,0.063132776,0.305453609,0.720960815,0.702368479,0.505194889,0.266573403,0.246156758,0.17610917,0.497741565,8,15,0.801009946,0.050456663,414,765337350,304308.5197,3802
16,World,"The Town, Gilbert, Arizona","The Town, Gilbert, AZ, USA",The Town,Neighborhood,The Town,"Gilbert, Arizona",Gilbert,Maricopa County,AZ,2480290.985,-111.723424,33.260835,-111.723424,33.260835,-111.726424,-111.720424,33.257835,33.263835, ,Gilbert town,,Arizona,27400,4,Gilbert town,Arizona,275359,0.492785781,0.507214219,0.704861653,0.805668237,0.972998885,0.326152405,0.207024285,0.286331662,0.192595848,0.117635523,0.275287897,0.851078047,0.674174441,0.523872472,0.220595659,0.257057151,0.123206432,0.555075374,8,16,0.800183941,0.050364965,158,533298855.2,322754.8804,4042
17,World,"City of Glendale, Arizona","City of Glendale, AZ, USA",City of Glendale,City,City of Glendale,"City of Glendale, Arizona",City of Glendale,Maricopa County,AZ,2526288.714,-112.22905,33.52691,-112.22905,33.52691,-112.47905,-111.97905,33.27691,33.77691, ,Glendale city,,Arizona,27820,4,Glendale city,Arizona,252141,0.492704479,0.507295521,0.49447333,0.577736267,0.893591284,0.317968914,0.165621616,0.244807469,0.106345259,0.054457625,0.209628739,0.646626292,0.718677248,0.49922464,0.274822421,0.207142036,0.169936662,0.4896427,8,17,0.801549104,0.050516495,221,489185079.4,178457.7349,2778
18,World,"Town of Marana, Arizona","Town of Marana, AZ, USA",Town of Marana,City,Town of Marana,"Town of Marana, Arizona",Town of Marana,Pima County,AZ,2431925.504,-111.15582,32.4355,-111.15582,32.4355,-111.27682,-111.03482,32.3145,32.5565, ,Marana town,,Arizona,44270,4,Marana town,Arizona,55961,0.499097586,0.500902414,0.744804417,0.754257429,0.9761441,0.311699219,0.245939136,0.274065867,0.22412037,0.143993138,0.287003449,0.876753453,0.619753042,0.477832776,0.266667858,0.325280106,0.060059684,0.489716052,8,18,0.796068754,0.049907498,21,127527953.8,133446.8586,389
19,World,"City of Peoria, Arizona","City of Peoria, AZ, USA",City of Peoria,City,City of Peoria,"City of Peoria, Arizona",City of Peoria,Maricopa County,AZ,2532109.176,-112.29896,33.78443,-112.29896,33.78443,-112.46296,-112.13496,33.62043,33.94843, ,Peoria city,,Arizona,54050,4,Peoria city,Arizona,197862,0.482224985,0.517775015,0.6793826,0.765766039,0.963818217,0.319394325,0.212627993,0.237776834,0.16428622,0.082618188,0.288084625,0.818499762,0.720623465,0.492489715,0.304656781,0.280427773,0.173621009,0.522404504,8,19,0.80288866,0.050665073,23,91160981.03,19432.71548,167
20,World,"City of Prescott, Arizona","City of Prescott, AZ, USA",City of Prescott,City,City of Prescott,"City of Prescott, Arizona",City of Prescott,Yavapai County,AZ,2545617.818,-112.44756,34.57995,-112.44756,34.57995,-112.52856,-112.36656,34.49895,34.66095, ,Prescott city,,Arizona,57380,4,Prescott city,Arizona,47608,0.499810956,0.500189044,0.867123173,0.87917997,0.979016132,0.231410687,0.250756175,0.164762225,0.192488657,0.118593514,0.41310284,0.709859687,0.782977651,0.34685347,0.525100823,0.322361788,0.152642413,0.355696522,8,20,0.807143,0.051136238,46,1054012329,885792.6946,1639
21,World,"City of Surprise, Arizona","City of Surprise, AZ, USA",City of Surprise,City,City of Surprise,"City of Surprise, Arizona",City of Surprise,Maricopa County,AZ,2546551.011,-112.4526,33.68022,-112.4526,33.68022,-112.5936,-112.3116,33.53922,33.82122, ,Surprise city,,Arizona,71510,4,Surprise city,Arizona,154194,0.463455128,0.536544872,0.670350338,0.812346784,0.974999027,0.284012348,0.20892512,0.215721753,0.128986861,0.070100004,0.303221915,0.821264122,0.681258674,0.446852666,0.31940283,0.296827373,0.088589699,0.46879256,8,21,0.802344402,0.050604719,26,38537330.51,15363.2171,328
22,World,"City of Phoenix, Arizona","City of Phoenix, AZ, USA",City of Phoenix,City,City of Phoenix,"City of Phoenix, Arizona",City of Phoenix,Maricopa County,AZ,2513192.146,-112.0891,33.57222,-112.0891,33.57222,-112.3391,-111.8391,33.32222,33.82222, ,Phoenix city,,Arizona,55000,4,Phoenix city,Arizona,1644403,0.500724579,0.499275421,0.467612258,0.565025727,0.88330841,0.3143013,0.151627065,0.240239771,0.132329484,0.084579632,0.235633236,0.662679404,0.727584418,0.512291695,0.256445652,0.215318264,0.118019123,0.507455897,8,22,0.801783484,0.050542499,195,520909677.4,512766.1423,5692
23,World,"City of Scottsdale, Arizona","City of Scottsdale, AZ, USA",City of Scottsdale,City,City of Scottsdale,"City of Scottsdale, Arizona",City of Scottsdale,Maricopa County,AZ,2492184.268,-111.86507,33.68725,-111.86507,33.68725,-112.03007,-111.70007,33.52225,33.85225, ,Scottsdale city,,Arizona,65000,4,Scottsdale city,Arizona,243027,0.486694894,0.513305106,0.784620639,0.889707728,0.962177042,0.28971678,0.206038835,0.162763808,0.313170965,0.191501356,0.424265617,0.831895222,0.810156896,0.533294655,0.334987471,0.330580553,0.25166751,0.551119834,8,23,0.802381024,0.050608781,41,1009431562,496187.3889,1734
24,World,"City of Tempe, Arizona","City of Tempe, AZ, USA",City of Tempe,City,City of Tempe,"City of Tempe, Arizona",City of Tempe,Maricopa County,AZ,2499173.379,-111.93176,33.38819,-111.93176,33.38819,-111.99376,-111.86976,33.32619,33.45019, ,Tempe city,,Arizona,73000,4,Tempe city,Arizona,185939,0.537929106,0.462070894,0.591699428,0.758318588,0.925932698,0.337427866,0.136012348,0.338105508,0.182608275,0.134839921,0.285604419,0.687725544,0.812755796,0.610291547,0.235211548,0.181806937,0.15595975,0.642560194,8,24,0.800834987,0.050437243,301,666254908.2,456350.9428,4849
25,World,"City of Fayetteville, Arkansas","City of Fayetteville, AR, USA",City of Fayetteville,City,City of Fayetteville,"City of Fayetteville, Arkansas",City of Fayetteville,Washington County,AR,974124.5956,-94.16597,36.07135,-94.16597,36.07135,-94.27497,-94.05697,35.96235,36.18035, ,Fayetteville city,,Arkansas,23290,5,Fayetteville city,Arkansas,99288,0.484449279,0.515550721,0.751772621,0.920020546,0.958061397,0.35521916,0.135786802,0.352086858,0.148134719,0.118413101,0.370195794,0.537043752,0.776720248,0.504864636,0.3076404,0.170624849,0.118282169,0.587069938,8,25,0.815613893,0.052071258,86,337429935.3,98733.62293,763
26,World,"City of Tucson, Arizona","City of Tucson, AZ, USA",City of Tucson,City,City of Tucson,"City of Tucson, Arizona",City of Tucson,Pima County,AZ,2407986.313,-110.87709,32.15673,-110.87709,32.15673,-111.05209,-110.70209,31.98173,32.33173, ,Tucson city,,Arizona,77000,4,Tucson city,Arizona,546598,0.498554697,0.501445303,0.507967464,0.54720288,0.92997779,0.326977047,0.131723863,0.268111116,0.119063736,0.084080073,0.273583145,0.552274249,0.730507613,0.469262602,0.314479746,0.217809066,0.12079993,0.516136173,8,26,0.794718648,0.049757183,206,508583634.3,311854.2102,3187
27,World,"Town of Oro Valley, Arizona","Town of Oro Valley, AZ, USA",Town of Oro Valley,City,Town of Oro Valley,"Town of Oro Valley, Arizona",Town of Oro Valley,Pima County,AZ,2415249.857,-110.97677,32.42267,-110.97677,32.42267,-111.03877,-110.91477,32.36067,32.48467, ,Oro Valley town,,Arizona,51600,4,Oro Valley town,Arizona,48236,0.450431213,0.549568787,0.740629405,0.814142964,0.963720043,0.289742101,0.259764491,0.20275313,0.302160212,0.176237665,0.382701717,0.87418111,0.753627996,0.402438013,0.460195704,0.338813334,0.272928933,0.437992371,8,27,0.796006182,0.049900534,36,921789551.5,321553.1753,1083
28,World,"City of Fort Smith, Arkansas","City of Fort Smith, AR, USA",City of Fort Smith,City,City of Fort Smith,"City of Fort Smith, Arkansas",City of Fort Smith,Sebastian County,AR,951661.0586,-94.36939,35.3485,-94.36939,35.3485,-94.46239,-94.27639,35.2555,35.4415, ,Fort Smith city,,Arkansas,24550,5,Fort Smith city,Arkansas,89981,0.495215657,0.504784343,0.610162145,0.797723964,0.923739456,0.330080795,0.177070715,0.247785644,0.090074571,0.058356764,0.318367211,0.523499405,0.689401096,0.432724686,0.303264022,0.210255498,0.113357264,0.505340016,8,28,0.811425331,0.051609434,32,73689447.67,72778.58122,563
29,World,"City of Jonesboro, Arkansas","City of Jonesboro, AR, USA",City of Jonesboro,City,City of Jonesboro,"City of Jonesboro, Arkansas",City of Jonesboro,Craighead County,AR,707961.5725,-90.6795,35.82081,-90.6795,35.82081,-90.7755,-90.5835,35.72481,35.91681, ,Jonesboro city,,Arkansas,35710,5,Jonesboro city,Arkansas,79884,0.464435932,0.535564068,0.651582294,0.928734165,0.972109559,0.38569676,0.185844474,0.275649692,0.095776376,0.079127234,0.357693656,0.561902258,0.713622252,0.458239447,0.289932903,0.22616544,0.115229583,0.503580191,8,29,0.814144081,0.051909311,17,27225982.04,16400.49721,115
30,World,"City of Rogers, Arkansas","City of Rogers, AR, USA",City of Rogers,City,City of Rogers,"City of Rogers, Arkansas",City of Rogers,Benton County,AR,987413.5952,-94.1515,36.31719,-94.1515,36.31719,-94.2275,-94.0755,36.24119,36.39319, ,Rogers city,,Arkansas,60410,5,Rogers city,Arkansas,72996,0.502780974,0.497219026,0.563976108,0.669529837,0.890281659,0.389678887,0.211929421,0.255630446,0.132610006,0.08804592,0.282864815,0.734642994,0.703586498,0.510767713,0.252465889,0.232889473,0.14292564,0.504287906,8,30,0.817075084,0.052232135,58,301944070.7,118776.0475,1354
31,World,"City of Alameda, California","City of Alameda, CA, USA",City of Alameda,City,City of Alameda,"City of Alameda, California",City of Alameda,Alameda County,CA,3434318.972,-122.27439,37.75596,-122.27439,37.75596,-122.52439,-122.02439,37.50596,38.00596, ,Alameda city,,California,562,6,Alameda city,California,76039,0.48330462,0.51669538,0.42317758,0.874538066,0.91554334,0.250687147,0.19082313,0.262207551,0.240495009,0.17819803,0.215428925,0.80734886,0.741093386,0.488394114,0.274595931,0.177987612,0.058259577,0.561119952,8,31,0.826016838,0.053214095,534,848050982.7,378454.5378,6335
32,World,"City of Alhambra, California","City of Alhambra, CA, USA",City of Alhambra,City,City of Alhambra,"City of Alhambra, California",City of Alhambra,Los Angeles County,CA,3068911.737,-118.13551,34.08397,-118.13551,34.08397,-118.38551,-117.88551,33.83397,34.33397, ,Alhambra city,,California,884,6,Alhambra city,California,80264,0.49329712,0.50670288,0.101041563,0.654988538,0.853882189,0.340837735,0.171496561,0.213358417,0.204525067,0.099932722,0.087797767,0.694969102,0.827232632,0.499937706,0.345198345,0.160632413,0.096469152,0.60218778,8,32,0.804469747,0.050840302,374,1083008827,305139.3368,3843
33,World,"City of Anaheim, California","City of Anaheim, CA, USA",City of Anaheim,City,City of Anaheim,"City of Anaheim, California",City of Anaheim,Orange County,CA,3051891.984,-117.93184,33.82521,-117.93184,33.82521,-118.04084,-117.82284,33.71621,33.93421, ,Anaheim city,,California,2000,6,Anaheim city,California,344462,0.481077739,0.518922261,0.339363994,0.471012768,0.824067677,0.369762122,0.142898201,0.266578026,0.133376105,0.057434492,0.10874349,0.674773995,0.755020873,0.520153166,0.268708885,0.139344833,0.065397635,0.530453287,8,33,0.803102453,0.050688776,394,579202351,269665.2271,4048
34,World,"Arden-Arcade CDP, California","Arden-Arcade CDP, CA, USA",Arden-Arcade CDP,City,Arden-Arcade CDP,"Arden-Arcade, California",Arden-Arcade,Sacramento County,CA,3359363.46,-121.37854,38.6025,-121.37854,38.6025,-121.41954,-121.33754,38.5615,38.6435, ,Arden-Arcade CDP,,California,2553,6,Arden-Arcade CDP,California,95936,0.495903519,0.504096481,0.510819713,0.767084306,0.875542028,0.316210807,0.154926201,0.256431371,0.140062125,0.098211308,0.288181704,0.6618996,0.722335724,0.460869746,0.259766928,0.180474483,0.077155604,0.546364243,8,34,0.831604636,0.053825589,335,618844266.9,293226.5141,3121
35,World,"City of Benicia, California","City of Benicia, CA, USA",City of Benicia,City,City of Benicia,"City of Benicia, California",City of Benicia,Solano County,CA,3424569.436,-122.15417,38.07039,-122.15417,38.07039,-122.40417,-121.90417,37.82039,38.32039, ,Benicia city,,California,5290,6,Benicia city,California,26574,0.494355385,0.505644615,0.617709039,0.822834349,0.953827049,0.265033491,0.195378942,0.216565064,0.243546323,0.121998946,0.304018966,0.80469632,0.774441183,0.441634681,0.377700008,0.275043275,0.20463611,0.523142922,8,35,0.82806311,0.053438214,117,242182694.4,203253.6181,1977
36,World,"City of Little Rock, Arkansas","City of Little Rock, AR, USA",City of Little Rock,City,City of Little Rock,"City of Little Rock, Arkansas",City of Little Rock,Pulaski County,AR,757301.9833,-92.35837,34.72539,-92.35837,34.72539,-92.49937,-92.21737,34.58439,34.86639, ,Little Rock city,,Arkansas,41000,5,Little Rock city,Arkansas,202851,0.470305791,0.529694209,0.459184327,0.928760519,0.969218786,0.38084604,0.152358135,0.214359308,0.157913937,0.117884556,0.38534195,0.623999882,0.726829052,0.488644374,0.301428142,0.232801416,0.11258017,0.539114917,8,36,0.807940187,0.051224407,126,264092844.7,184399.1941,1571
37,World,"City of Burbank, California","City of Burbank, CA, USA",City of Burbank,City,City of Burbank,"City of Burbank, California",City of Burbank,Los Angeles County,CA,3085535.85,-118.32343,34.18798,-118.32343,34.18798,-118.57343,-118.07343,33.93798,34.43798, ,Burbank city,,California,8954,6,Burbank city,California,103919,0.50631742,0.49368258,0.61279458,0.760245961,0.930503565,0.302447098,0.170363456,0.213185269,0.207729097,0.111615778,0.238936094,0.738055601,0.788017591,0.530788403,0.267285097,0.173914299,0.082227504,0.596599274,8,37,0.805024592,0.05090176,305,1095338821,581152.9294,3502
38,World,"City of Carlsbad, California","City of Carlsbad, CA, USA",City of Carlsbad,City,City of Carlsbad,"City of Carlsbad, California",City of Carlsbad,San Diego County,CA,2997610.356,-117.28354,33.12455,-117.28354,33.12455,-117.53354,-117.03354,32.87455,33.37455, ,Carlsbad city,,California,11194,6,Carlsbad city,California,114161,0.497464108,0.502535892,0.68367481,0.7982586,0.938753164,0.26629059,0.236166467,0.276442918,0.267508168,0.175953259,0.28375715,0.853286149,0.689753944,0.480855984,0.265414634,0.241606153,0.128791794,0.530277415,8,38,0.799492052,0.050288123,186,386513782.1,275973.5268,2812
39,World,"City of Camarillo, California","City of Camarillo, CA, USA",City of Camarillo,City,City of Camarillo,"City of Camarillo, California",City of Camarillo,Ventura County,CA,3150423.619,-119.03261,34.22303,-119.03261,34.22303,-119.28261,-118.78261,33.97303,34.47303, ,Camarillo city,,California,10046,6,Camarillo city,California,70287,0.476318523,0.523681477,0.552719564,0.703785906,0.92581843,0.351473245,0.201957688,0.231707144,0.199325622,0.13743651,0.233371747,0.787030319,0.710970734,0.454123807,0.329022437,0.251369386,0.128999673,0.501899355,8,39,0.805212251,0.050922541,109,329110113,230417.5584,1320
40,World,"City of Bakersfield, California","City of Bakersfield, CA, USA",City of Bakersfield,City,City of Bakersfield,"City of Bakersfield, California",City of Bakersfield,Kern County,CA,3145492.596,-119.03536,35.35283,-119.03536,35.35283,-119.28536,-118.78536,35.10283,35.60283, ,Bakersfield city,,California,3526,6,Bakersfield city,California,410654,0.500012176,0.499987824,0.422533325,0.443804273,0.894702109,0.330633575,0.155318102,0.294430348,0.092162745,0.048181681,0.162029348,0.618170041,0.67014567,0.43122434,0.265929469,0.186816639,0.101051006,0.518270856,8,40,0.811449951,0.051612152,118,203863690.1,81877.19075,645
41,World,"Carmichael, California","Carmichael, CA, USA",Carmichael,City,Carmichael,"Carmichael, California",Carmichael,Sacramento County,CA,0,-121.327265,38.636604,-121.327265,38.636604,-121.372265,-121.282265,38.591604,38.681604,CDP,Carmichael CDP,,California,11390,6,Carmichael CDP,California,82145,0.492677582,0.507322418,0.693554081,0.845078824,0.927469718,0.346192708,0.184137805,0.195227951,0.178087528,0.119142979,0.314687443,0.729648792,0.771452919,0.508624992,0.310974496,0.218053442,0.079177065,0.557514152,8,41,0.831835047,0.053850769,263,549177971.2,356231.7036,2411
42,World,"City of Chico, California","City of Chico, CA, USA",City of Chico,City,City of Chico,"City of Chico, California",City of Chico,Butte County,CA,3405618.214,-121.81601,39.75682,-121.81601,39.75682,-122.06601,-121.56601,39.50682,40.00682, ,Chico city,,California,13014,6,Chico city,California,101304,0.492181947,0.507818053,0.721264708,0.818496802,0.966654821,0.356254442,0.131060965,0.311211798,0.175925926,0.102868594,0.341437653,0.614309405,0.783749901,0.530630577,0.290324173,0.188728974,0.141465293,0.595781016,8,42,0.839640637,0.054702225,56,1075332623,110598.6079,700
43,World,"City of Cathedral City, California","City of Cathedral City, CA, USA",City of Cathedral City,City,City of Cathedral City,"City of Cathedral City, California",City of Cathedral City,Riverside County,CA,2916664.668,-116.46616,33.83628,-116.46616,33.83628,-116.71616,-116.21616,33.58628,34.08628, ,Cathedral City city,,California,12048,6,Cathedral City city,California,52496,0.530783298,0.469216702,0.2971274,0.416546023,0.899306614,0.348578939,0.170393935,0.245599665,0.10859875,0.072272173,0.173232246,0.665479275,0.758876867,0.4918089,0.303546937,0.222093112,0.200662908,0.530802347,8,43,0.803160568,0.050695219,29,172826687.7,173106.0247,483
